395578,	0x8140,	0xA1A1,	0xE38080,	//	　
150324,	0x82CC,	0xA4CE,	0xE381AE,	//	の
122124,	0x815B,	0xA1BC,	0xE383BC,	//	ー
109859,	0x82A2,	0xA4A4,	0xE38184,	//	い
102815,	0x82B5,	0xA4B7,	0xE38197,	//	し
91442,	0x8142,	0xA1A3,	0xE38082,	//	。
90858,	0x82C5,	0xA4C7,	0xE381A7,	//	で
84908,	0x8141,	0xA1A2,	0xE38081,	//	、
84100,	0x82B7,	0xA4B9,	0xE38199,	//	す
83196,	0x82C9,	0xA4CB,	0xE381AB,	//	に
82905,	0x82C4,	0xA4C6,	0xE381A6,	//	て
77586,	0x82C8,	0xA4CA,	0xE381AA,	//	な
75826,	0x82E9,	0xA4EB,	0xE3828B,	//	る
70988,	0x82C6,	0xA4C8,	0xE381A8,	//	と
66550,	0x8393,	0xA5F3,	0xE383B3,	//	ン
65673,	0x82DC,	0xA4DE,	0xE381BE,	//	ま
65549,	0x82BD,	0xA4BF,	0xE3819F,	//	た
63876,	0x82CD,	0xA4CF,	0xE381AF,	//	は
62256,	0x8146,	0xA1A7,	0xEFBC9A,	//	：
62032,	0x82F0,	0xA4F2,	0xE38292,	//	を
60414,	0x82F1,	0xA4F3,	0xE38293,	//	ん
59498,	0x82A9,	0xA4AB,	0xE3818B,	//	か
57474,	0x8358,	0xA5B9,	0xE382B9,	//	ス
57420,	0x82AA,	0xA4AC,	0xE3818C,	//	が
51786,	0x82C1,	0xA4C3,	0xE381A3,	//	っ
45819,	0x8367,	0xA5C8,	0xE38388,	//	ト
44623,	0x82A4,	0xA4A6,	0xE38186,	//	う
43556,	0x82E7,	0xA4E9,	0xE38289,	//	ら
43417,	0x838B,	0xA5EB,	0xE383AB,	//	ル
41715,	0x82B3,	0xA4B5,	0xE38195,	//	さ
40459,	0x8145,	0xA1A6,	0xE383BB,	//	・
40314,	0x82E0,	0xA4E2,	0xE38282,	//	も
40034,	0x8362,	0xA5C3,	0xE38383,	//	ッ
39044,	0x82B1,	0xA4B3,	0xE38193,	//	こ
38695,	0x82EA,	0xA4EC,	0xE3828C,	//	れ
37388,	0x8343,	0xA5A4,	0xE382A4,	//	イ
36184,	0x84AA,	0xA8AC,	0xE29481,	//	━
35692,	0x8150,	0xA1B1,	0xEFBFA3,	//	‾
35408,	0x96BC,	0xCCBE,	0xE5908D,	//	名
33601,	0x82BE,	0xA4C0,	0xE381A0,	//	だ
33477,	0x82E8,	0xA4EA,	0xE3828A,	//	り
31130,	0x838C,	0xA5EC,	0xE383AC,	//	レ
30347,	0x834E,	0xA5AF,	0xE382AF,	//	ク
29643,	0x849F,	0xA8A1,	0xE29480,	//	─
29567,	0x93FA,	0xC6FC,	0xE697A5,	//	日
28747,	0x82AB,	0xA4AD,	0xE3818D,	//	き
27895,	0x82AD,	0xA4AF,	0xE3818F,	//	く
27572,	0x82A0,	0xA4A2,	0xE38182,	//	あ
26895,	0x838A,	0xA5EA,	0xE383AA,	//	リ
26879,	0x8381,	0xA5E1,	0xE383A1,	//	メ
26775,	0x8389,	0xA5E9,	0xE383A9,	//	ラ
25249,	0x8357,	0xA5B8,	0xE382B8,	//	ジ
23260,	0x8151,	0xA1B2,	0xEFBCBF,	//	＿
23147,	0x8169,	0xA1CA,	0xEFBC88,	//	（
23111,	0x8368,	0xA5C9,	0xE38389,	//	ド
22910,	0x82E6,	0xA4E8,	0xE38288,	//	よ
22725,	0x96B3,	0xCCB5,	0xE784A1,	//	無
22585,	0x816A,	0xA1CB,	0xEFBC89,	//	）
22537,	0x8341,	0xA5A2,	0xE382A2,	//	ア
22318,	0x8376,	0xA5D7,	0xE38397,	//	プ
21999,	0x8149,	0xA1AA,	0xEFBC81,	//	！
21451,	0x835E,	0xA5BF,	0xE382BF,	//	タ
21073,	0x82AF,	0xA4B1,	0xE38191,	//	け
20882,	0x8374,	0xA5D5,	0xE38395,	//	フ
20865,	0x82A8,	0xA4AA,	0xE3818A,	//	お
19666,	0x8175,	0xA1D6,	0xE3808C,	//	「
19380,	0x8176,	0xA1D7,	0xE3808D,	//	」
19322,	0x82C7,	0xA4C9,	0xE381A9,	//	ど
19063,	0x914F,	0xC1B0,	0xE5898D,	//	前
17707,	0x82DD,	0xA4DF,	0xE381BF,	//	み
17619,	0x82BF,	0xA4C1,	0xE381A1,	//	ち
17174,	0x82A6,	0xA4A8,	0xE38188,	//	え
17139,	0x82BB,	0xA4BD,	0xE3819D,	//	そ
16904,	0x8356,	0xA5B7,	0xE382B7,	//	シ
16742,	0x938A,	0xC5EA,	0xE68A95,	//	投
16453,	0x82C2,	0xA4C4,	0xE381A4,	//	つ
15872,	0x838D,	0xA5ED,	0xE383AD,	//	ロ
15609,	0x8D65,	0xB9C6,	0xE7A8BF,	//	稿
15358,	0x8352,	0xA5B3,	0xE382B3,	//	コ
15296,	0x8354,	0xA5B5,	0xE382B5,	//	サ
14782,	0x82B9,	0xA4BB,	0xE3819B,	//	せ
14774,	0x834F,	0xA5B0,	0xE382B0,	//	グ
14486,	0x81A1,	0xA2A3,	0xE296A0,	//	■
14467,	0x8365,	0xA5C6,	0xE38386,	//	テ
14348,	0x9056,	0xBFB7,	0xE696B0,	//	新
14298,	0x8148,	0xA1A9,	0xEFBC9F,	//	？
14235,	0x837D,	0xA5DE,	0xE3839E,	//	マ
13356,	0x835A,	0xA5BB,	0xE382BB,	//	セ
13279,	0x8385,	0xA5E5,	0xE383A5,	//	ュ
12867,	0x8380,	0xA5E0,	0xE383A0,	//	ム
12801,	0x836F,	0xA5D0,	0xE38390,	//	バ
12798,	0x906C,	0xBFCD,	0xE4BABA,	//	人
12485,	0x8F91,	0xBDF1,	0xE69BB8,	//	書
11953,	0x8366,	0xA5C7,	0xE38387,	//	デ
11930,	0x82E2,	0xA4E4,	0xE38284,	//	や
11632,	0x836A,	0xA5CB,	0xE3838B,	//	ニ
11381,	0x834A,	0xA5AB,	0xE382AB,	//	カ
11302,	0x834C,	0xA5AD,	0xE382AD,	//	キ
10969,	0x82DF,	0xA4E1,	0xE38281,	//	め
10892,	0x975C,	0xCDBD,	0xE4BA88,	//	予
10858,	0x96F1,	0xCCF3,	0xE7B484,	//	約
10819,	0x82ED,	0xA4EF,	0xE3828F,	//	わ
10545,	0x835F,	0xA5C0,	0xE38380,	//	ダ
10412,	0x815C,	0xA1BD,	0xE28095,	//	—
10281,	0x82E1,	0xA4E3,	0xE38283,	//	ゃ
10153,	0x8348,	0xA5A9,	0xE382A9,	//	ォ
9720,	0x8163,	0xA1C4,	0xE280A6,	//	…
9699,	0x8360,	0xA5C1,	0xE38381,	//	チ
9433,	0x9770,	0xCDD1,	0xE794A8,	//	用
9336,	0x8250,	0xA3B1,	0xEFBC91,	//	１
9318,	0x82CB,	0xA4CD,	0xE381AD,	//	ね
9312,	0x824F,	0xA3B0,	0xEFBC90,	//	０
9295,	0x8342,	0xA5A3,	0xE382A3,	//	ィ
9289,	0x82B6,	0xA4B8,	0xE38198,	//	じ
9262,	0x82D6,	0xA4D8,	0xE381B8,	//	へ
9176,	0x8EA6,	0xBCA8,	0xE7A4BA,	//	示
9104,	0x8383,	0xA5E3,	0xE383A3,	//	ャ
9098,	0x8E9E,	0xBBFE,	0xE69982,	//	時
9087,	0x8E67,	0xBBC8,	0xE4BDBF,	//	使
9050,	0x904D,	0xBFAE,	0xE4BFA1,	//	信
9031,	0x88EA,	0xB0EC,	0xE4B880,	//	一
9023,	0x8370,	0xA5D1,	0xE38391,	//	パ
8978,	0x82B2,	0xA4B4,	0xE38194,	//	ご
8973,	0x82EB,	0xA4ED,	0xE3828D,	//	ろ
8830,	0x8DEC,	0xBAEE,	0xE4BD9C,	//	作
8771,	0x8AD6,	0xB4D8,	0xE996A2,	//	関
8679,	0x8160,	0xA1C1,	0xEFBD9E,	//	〜
8666,	0x95F1,	0xCAF3,	0xE5A0B1,	//	報
8590,	0x967B,	0xCBDC,	0xE69CAC,	//	本
8524,	0xDE,	0x8EDE,	0xEFBE9E,	//	゛
8523,	0x8372,	0xA5D3,	0xE38393,	//	ビ
8401,	0x815E,	0xA1BF,	0xEFBC8F,	//	／
8323,	0x8F6F,	0xBDD0,	0xE587BA,	//	出
8162,	0x82CE,	0xA4D0,	0xE381B0,	//	ば
8161,	0x8272,	0xA3D3,	0xEFBCB3,	//	Ｓ
8117,	0x8349,	0xA5AA,	0xE382AA,	//	オ
8102,	0x8375,	0xA5D6,	0xE38396,	//	ブ
8100,	0x836C,	0xA5CD,	0xE3838D,	//	ネ
8046,	0x815F,	0xA1C0,	0xEFBCBC,	//	＼
7945,	0x8C8E,	0xB7EE,	0xE69C88,	//	月
7876,	0x8D87,	0xB9E7,	0xE59088,	//	合
7846,	0x8387,	0xA5E7,	0xE383A7,	//	ョ
7839,	0x8345,	0xA5A6,	0xE382A6,	//	ウ
7819,	0x8C9F,	0xB8A1,	0xE6A49C,	//	検
7712,	0x8369,	0xA5CA,	0xE3838A,	//	ナ
7695,	0x8FEE,	0xBEF0,	0xE68385,	//	情
7547,	0x8DF5,	0xBAF7,	0xE7B4A2,	//	索
7493,	0x91E5,	0xC2E7,	0xE5A4A7,	//	大
7460,	0x8E96,	0xBBF6,	0xE4BA8B,	//	事
7454,	0x9286,	0xC3E6,	0xE4B8AD,	//	中
7341,	0x95AA,	0xCAAC,	0xE58886,	//	分
7317,	0x9094,	0xBFF4,	0xE695B0,	//	数
7149,	0x8CA9,	0xB8AB,	0xE8A68B,	//	見
7090,	0x8379,	0xA5DA,	0xE3839A,	//	ペ
6989,	0x8DC5,	0xBAC7,	0xE69C80,	//	最
6971,	0x95FB,	0xCAFD,	0xE696B9,	//	方
6865,	0x82E5,	0xA4E7,	0xE38287,	//	ょ
6733,	0x837C,	0xA5DD,	0xE3839D,	//	ポ
6709,	0x81A0,	0xA2A2,	0xE296A1,	//	□
6640,	0x9153,	0xC1B4,	0xE585A8,	//	全
6626,	0x8ED2,	0xBCD4,	0xE88085,	//	者
6531,	0x8D73,	0xB9D4,	0xE8A18C,	//	行
6519,	0x89BA,	0xB2BC,	0xE4B88B,	//	下
6489,	0x837E,	0xA5DF,	0xE3839F,	//	ミ
6446,	0x94C2,	0xC8C4,	0xE69DBF,	//	板
6380,	0x955C,	0xC9BD,	0xE8A1A8,	//	表
6379,	0x96DA,	0xCCDC,	0xE79BAE,	//	目
6377,	0x92E8,	0xC4EA,	0xE5AE9A,	//	定
6206,	0x8CEA,	0xB8EC,	0xE8AA9E,	//	語
6192,	0x8346,	0xA5A7,	0xE382A7,	//	ェ
6180,	0x8CBE,	0xB8C0,	0xE8A880,	//	言
6172,	0x8251,	0xA3B2,	0xEFBC92,	//	２
6145,	0x9349,	0xC5AA,	0xE79A84,	//	的
6143,	0x81C8,	0xA2CA,	0xE288A7,	//	∧
6141,	0x82D7,	0xA4D9,	0xE381B9,	//	べ
6080,	0x8D9E,	0xB9FE,	0xE8BEBC,	//	込
6078,	0x8E76,	0xBBD7,	0xE6809D,	//	思
6035,	0x944E,	0xC7AF,	0xE5B9B4,	//	年
6029,	0x8373,	0xA5D4,	0xE38394,	//	ピ
5909,	0x8152,	0xA1B3,	0xE383BD,	//	ヽ
5886,	0x9841,	0xCFA2,	0xE980A3,	//	連
5793,	0x9594,	0xC9F4,	0xE983A8,	//	部
5747,	0x8179,	0xA1DA,	0xE38090,	//	【
5730,	0x817A,	0xA1DB,	0xE38091,	//	】
5721,	0x93FC,	0xC6FE,	0xE585A5,	//	入
5707,	0x82DE,	0xA4E0,	0xE38280,	//	む
5622,	0x985E,	0xCFBF,	0xE98CB2,	//	録
5622,	0x936F,	0xC5D0,	0xE799BB,	//	登
5617,	0x89EF,	0xB2F1,	0xE4BC9A,	//	会
5524,	0x979D,	0xCDFD,	0xE79086,	//	理
5518,	0x82D9,	0xA4DB,	0xE381BB,	//	ほ
5510,	0x8FEA,	0xBEEC,	0xE5A0B4,	//	場
5506,	0x93E0,	0xC6E2,	0xE58685,	//	内
5461,	0x95B6,	0xCAB8,	0xE69687,	//	文
5360,	0x8C66,	0xB7C7,	0xE68EB2,	//	掲
5358,	0x8347,	0xA5A8,	0xE382A8,	//	エ
5351,	0x8FE3,	0xBEE5,	0xE4B88A,	//	上
5285,	0x814D,	0xA1AE,	0xEFBD80,	//	｀
5266,	0x8A4A,	0xB3AB,	0xE9968B,	//	開
5222,	0x81A4,	0xA2A6,	0xE296BD,	//	▽
5209,	0x93AE,	0xC6B0,	0xE58B95,	//	動
5208,	0x8AD4,	0xB4D6,	0xE99693,	//	間
5193,	0xDF,	0x8EDF,	0xEFBE9F,	//	゜
5146,	0x8B4C,	0xB5AD,	0xE8A898,	//	記
5113,	0x8363,	0xA5C4,	0xE38384,	//	ツ
5061,	0x8DA1,	0xBAA3,	0xE4BB8A,	//	今
5054,	0x8E71,	0xBBD2,	0xE5AD90,	//	子
5048,	0x8B43,	0xB5A4,	0xE6B097,	//	気
5026,	0x8382,	0xA5E2,	0xE383A2,	//	モ
4978,	0x819A,	0xA1FA,	0xE29885,	//	★
4960,	0x835C,	0xA5BD,	0xE382BD,	//	ソ
4879,	0x93C7,	0xC6C9,	0xE8AAAD,	//	読
4878,	0x96E2,	0xCCE4,	0xE5958F,	//	問
4817,	0x88D3,	0xB0D5,	0xE6848F,	//	意
4808,	0x8EC0,	0xBCC2,	0xE5AE9F,	//	実
4790,	0x8EA9,	0xBCAB,	0xE887AA,	//	自
4738,	0x8D91,	0xB9F1,	0xE59BBD,	//	国
4714,	0x95CF,	0xCAD1,	0xE5A489,	//	変
4704,	0x976C,	0xCDCD,	0xE6A798,	//	様
4703,	0x8E9A,	0xBBFA,	0xE5AD97,	//	字
4541,	0x836D,	0xA5CE,	0xE3838E,	//	ノ
4536,	0xA5,	0x8EA5,	0xEFBDA5,	//	・
4517,	0x94AD,	0xC8AF,	0xE799BA,	//	発
4478,	0x81A5,	0xA2A7,	0xE296BC,	//	▼
4389,	0x90B6,	0xC0B8,	0xE7949F,	//	生
4374,	0x82B8,	0xA4BA,	0xE3819A,	//	ず
4366,	0x8261,	0xA3C2,	0xEFBCA2,	//	Ｂ
4353,	0x8ED0,	0xBCD2,	0xE7A4BE,	//	社
4352,	0x8EF3,	0xBCF5,	0xE58F97,	//	受
4298,	0x8350,	0xA5B1,	0xE382B1,	//	ケ
4281,	0x838F,	0xA5EF,	0xE383AF,	//	ワ
4278,	0x8162,	0xA1C3,	0xEFBD9C,	//	｜
4278,	0x8EE8,	0xBCEA,	0xE6898B,	//	手
4276,	0x92CA,	0xC4CC,	0xE9809A,	//	通
4204,	0x81CD,	0xA2CF,	0xE28880,	//	∀
4203,	0xB0,	0x8EB0,	0xEFBDB0,	//	ー
4143,	0x82DB,	0xA4DD,	0xE381BD,	//	ぽ
4109,	0xCA,	0x8ECA,	0xEFBE8A,	//	ハ
4093,	0x8F9C,	0xBDFC,	0xE999A4,	//	除
4051,	0x82CA,	0xA4CC,	0xE381AC,	//	ぬ
4048,	0x834B,	0xA5AC,	0xE382AC,	//	ガ
4044,	0x8A77,	0xB3D8,	0xE5ADA6,	//	学
4030,	0x90AC,	0xC0AE,	0xE68890,	//	成
4018,	0x817C,	0xA1DD,	0xEFBC8D,	//	−
4015,	0x96D8,	0xCCDA,	0xE69CA8,	//	木
4003,	0x8340,	0xA5A1,	0xE382A1,	//	ァ
3990,	0x9149,	0xC1AA,	0xE981B8,	//	選
3989,	0x8359,	0xA5BA,	0xE382BA,	//	ズ
3934,	0x819F,	0xA2A1,	0xE29786,	//	◆
3867,	0x8E9F,	0xBCA1,	0xE6ACA1,	//	次
3845,	0x9197,	0xC1F7,	0xE98081,	//	送
3845,	0x837A,	0xA5DB,	0xE3839B,	//	ホ
3827,	0x8197,	0xA1F7,	0xEFBCA0,	//	＠
3816,	0x9776,	0xCDD7,	0xE8A681,	//	要
3794,	0x926D,	0xC3CE,	0xE79FA5,	//	知
3771,	0x8252,	0xA3B3,	0xEFBC93,	//	３
3767,	0x9862,	0xCFC3,	0xE8A9B1,	//	話
3755,	0x8D58,	0xB9B9,	0xE69BB4,	//	更
3752,	0xA4,	0x8EA4,	0xEFBDA4,	//	、
3748,	0x8F57,	0xBDB8,	0xE99B86,	//	集
3742,	0x8C8F,	0xB7EF,	0xE4BBB6,	//	件
3731,	0x88C8,	0xB0CA,	0xE4BBA5,	//	以
3680,	0x91E8,	0xC2EA,	0xE9A18C,	//	題
3667,	0x8D80,	0xB9E0,	0xE9A085,	//	項
3650,	0x8378,	0xA5D9,	0xE38399,	//	ベ
3611,	0x95D4,	0xCAD6,	0xE8BF94,	//	返
3592,	0x89C2,	0xB2C4,	0xE58FAF,	//	可
3583,	0x89BB,	0xB2BD,	0xE58C96,	//	化
3553,	0x84AB,	0xA8AD,	0xE29483,	//	┃
3516,	0x836E,	0xA5CF,	0xE3838F,	//	ハ
3514,	0x9085,	0xBFE5,	0xE6B0B4,	//	水
3504,	0x8444,	0xA7A5,	0xD094,	//	Д
3501,	0x90E6,	0xC0E8,	0xE58588,	//	先
3491,	0x90B3,	0xC0B5,	0xE6ADA3,	//	正
3462,	0x91CE,	0xC2D0,	0xE5AFBE,	//	対
3418,	0x945C,	0xC7BD,	0xE883BD,	//	能
3403,	0x8CBB,	0xB8BD,	0xE78FBE,	//	現
3400,	0x8CE3,	0xB8E5,	0xE5BE8C,	//	後
3390,	0xDD,	0x8EDD,	0xEFBE9D,	//	ン
3376,	0x89C1,	0xB2C3,	0xE58AA0,	//	加
3361,	0x94D4,	0xC8D6,	0xE795AA,	//	番
3360,	0xA7,	0x8EA7,	0xEFBDA7,	//	ァ
3327,	0x8DED,	0xBAEF,	0xE5898A,	//	削
3326,	0xC0,	0x8EC0,	0xEFBE80,	//	タ
3295,	0x9569,	0xC9CA,	0xE59381,	//	品
3279,	0x8EAB,	0xBCAD,	0xE8BE9E,	//	辞
3269,	0x8E64,	0xBBC5,	0xE4BB95,	//	仕
3264,	0x9574,	0xC9D5,	0xE4BB98,	//	付
3252,	0x93AF,	0xC6B1,	0xE5908C,	//	同
3237,	0x97BF,	0xCEC1,	0xE69699,	//	料
3237,	0x8355,	0xA5B6,	0xE382B6,	//	ザ
3210,	0x82D1,	0xA4D3,	0xE381B3,	//	び
3192,	0x9285,	0xC3E5,	0xE79D80,	//	着
3159,	0x8143,	0xA1A4,	0xEFBC8C,	//	，
3120,	0x8BE0,	0xB6E2,	0xE98791,	//	金
3106,	0x926E,	0xC3CF,	0xE59CB0,	//	地
3104,	0x89F0,	0xB2F2,	0xE8A7A3,	//	解
3087,	0x8199,	0xA1F9,	0xE29886,	//	☆
3077,	0x89F1,	0xB2F3,	0xE59B9E,	//	回
3057,	0x90AB,	0xC0AD,	0xE680A7,	//	性
3033,	0x82B0,	0xA4B2,	0xE38192,	//	げ
3028,	0x91F0,	0xC2F2,	0xE68A9E,	//	択
3007,	0x91CC,	0xC2CE,	0xE4BD93,	//	体
3002,	0x8353,	0xA5B4,	0xE382B4,	//	ゴ
2999,	0x89E6,	0xB2E8,	0xE794BB,	//	画
2901,	0x89BD,	0xB2BF,	0xE4BD95,	//	何
2876,	0x8377,	0xA5D8,	0xE38398,	//	ヘ
2853,	0xBA,	0x8EBA,	0xEFBDBA,	//	コ
2834,	0x8A4F,	0xB3B0,	0xE5A496,	//	外
2825,	0x82AE,	0xA4B0,	0xE38190,	//	ぐ
2781,	0x829F,	0xA4A1,	0xE38181,	//	ぁ
2749,	0x837B,	0xA5DC,	0xE3839C,	//	ボ
2737,	0x8B4B,	0xB5AC,	0xE8A68F,	//	規
2707,	0x8E84,	0xBBE4,	0xE7A781,	//	私
2701,	0x8D82,	0xB9E2,	0xE9AB98,	//	高
2687,	0x9396,	0xC5F6,	0xE5BD93,	//	当
2677,	0x95DB,	0xCADD,	0xE4BF9D,	//	保
2660,	0x96BE,	0xCCC0,	0xE6988E,	//	明
2640,	0x935D,	0xC5BE,	0xE8BBA2,	//	転
2639,	0x9640,	0xCBA1,	0xE6B395,	//	法
2637,	0x8BB3,	0xB6B5,	0xE69599,	//	教
2615,	0x97AA,	0xCEAC,	0xE795A5,	//	略
2600,	0x9765,	0xCDC6,	0xE5AEB9,	//	容
2599,	0x96DF,	0xCCE1,	0xE688BB,	//	戻
2584,	0x9788,	0xCDE8,	0xE69DA5,	//	来
2569,	0xC9,	0x8EC9,	0xEFBE89,	//	ノ
2552,	0x9363,	0xC5C4,	0xE794B0,	//	田
2549,	0x96EC,	0xCCEE,	0xE9878E,	//	野
2549,	0x8DC4,	0xBAC6,	0xE5868D,	//	再
